"","mu1","mu2","mu3","mu4","sigmasqu1","sigmasqu2","sigmasqu3","sigmasqu4","tau1","tau2","tau3","W1","W2","W3","W4","muGrid1","muGrid2","muGrid3","muGrid4","sigmasquGrid1","sigmasquGrid2","sigmasquGrid3","sigmasquGrid4","WGrid1","WGrid2","WGrid3","WGrid4"
"1",32.3683123572609,21.8947752635723,9.90104173524007,20.2932483356869,0.957448729253875,3.78490237818259,1.35651712826478,2.40589888899842,0.0591244071637537,0.586578924602378,0.136347683031613,1,2.0000000026188,3,2.00000000069364,-51.7363891562916,-51.7363891562916,-51.7363891562916,-51.7363891562916,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"2",33.6587155725021,21.3770738551515,9.49077776304496,25.1564245414256,0.947018175074542,4.53338521203779,0.438795458322687,1.03155119210199,0.0368620602740295,0.836339394681659,0.0875482794351287,1,2.00000000106048,3,1.45750454779639,-50.177240380815,-50.177240380815,-50.177240380815,-50.177240380815,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"3",33.0978829554223,21.1451860687114,9.72684018975205,23.8541678590297,5.23464315612922,4.789764710995,1.03039989626592,9.90846830108972,0.082319219507385,0.761714035748312,0.104377902100788,1,2.00000000080266,3,2.16883985604892,-48.6180916053383,-48.6180916053383,-48.6180916053383,-48.6180916053383,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"4",32.2323500740267,22.4898312996388,9.99283787744911,19.5955684608399,0.494536333863171,7.58852367741758,0.559390920747545,0.476610218110213,0.0425489572197174,0.499796659863629,0.0854878955439234,1,2.00000090469936,3,2.00259346751479,-47.0589428298617,-47.0589428298617,-47.0589428298617,-47.0589428298617,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"5",32.1986757591788,22.2019342875517,10.0960704841899,19.8121262710444,0.393397166548617,3.18146907940419,0.792748468583855,0.278129942817998,0.0256877747344639,0.609139018112287,0.0692331727841722,1,2.0000000053125,3,1.28780250522417,-45.499794054385,-45.499794054385,-45.499794054385,-45.499794054385,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"6",32.790379244546,21.9555638157663,10.0276873531754,19.8060603261247,1.00708013417573,6.8343031910878,0.53654415059698,0.490712266646592,0.0130136152220946,0.621475354192978,0.113521554493557,1,2.00000003615756,3,2.00063783006138,-43.9406452789084,-43.9406452789084,-43.9406452789084,-43.9406452789084,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"7",33.0569868490618,21.9819832024184,9.77393003108369,20.1390553534964,1.03915495720777,4.0218084129504,0.453592569366694,0.294515691873146,0.159954320460027,0.534749453391227,0.0637014885233441,1,2.00000000404531,3,2.16858009213964,-42.3814965034317,-42.3814965034317,-42.3814965034317,-42.3814965034317,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"8",31.2822636293103,21.9727423873109,9.62830499233751,20.0589721670093,2.08293873406078,5.8153738750774,0.561351126770006,0.440261300941804,0.01161056292111,0.653680365937076,0.0883957553455998,1,2.0000000160923,3,2.00087548034205,-40.8223477279551,-40.8223477279551,-40.8223477279551,-40.8223477279551,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"9",31.6061041030712,22.0164823154262,9.62657753688357,19.5824986348911,4.01371503116041,3.6737836295054,0.628326829603737,0.555495922686498,0.0597922107064227,0.627143570083276,0.0932222547698856,1,2.0000000036382,3,2.0003867838077,-39.2631989524784,-39.2631989524784,-39.2631989524784,-39.2631989524784,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"10",32.8257255494518,21.7919673164721,9.69859450860831,20.1298528607016,3.59714747925283,5.37549248478522,0.499295302529974,0.632127949015934,0.0708607827923761,0.669778952593543,0.0739800837762066,1,2.00000000586231,3,2.000008506652,-37.7040501770018,-37.7040501770018,-37.7040501770018,-37.7040501770018,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"11",33.9015356709985,21.8770373049607,9.48133656826412,19.5979518877012,0.956650161642544,4.45654141136466,0.375876542426982,0.674345960282739,0.0372914477577083,0.607233055796622,0.11288349868463,1,2.00000000386024,3,2.00003636948371,-36.1449014015251,-36.1449014015251,-36.1449014015251,-36.1449014015251,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"12",33.1739216502761,21.8010563929626,9.53287150241194,20.2267311893976,0.772062138789017,5.16807654577109,0.443539817106224,0.614593416912171,0.0302004171482283,0.643045262296045,0.0883738971268502,1,2.00000000513515,3,2.00000835006955,-34.5857526260485,-34.5857526260485,-34.5857526260485,-34.5857526260485,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"13",34.173989717252,21.7644215297216,9.45050767972192,19.7636168617807,0.835102241563965,7.12694172607363,0.553416821985355,0.450356124154598,0.0170047145169417,0.634816994482389,0.117312395068218,1,2.00000002235121,3,2.00240548144652,-33.0266038505718,-33.0266038505718,-33.0266038505718,-33.0266038505718,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"14",31.3607808301341,21.9553131758551,9.49124759951922,19.6057482666421,1.30158709605012,4.60246609498858,0.506468741335933,0.829494982104523,0.0639323705529704,0.661878933966942,0.104464975836068,1,2.000000005612,3,2.00000392985895,-31.4674550750952,-31.4674550750952,-31.4674550750952,-31.4674550750952,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
"15",32.373050737659,21.868923610803,9.82844887839897,19.9552173340626,1.65713549299914,5.71284202970354,0.407702829778448,0.520559437732217,0.0256846041076113,0.630113681666338,0.108940500495194,1,2.00000001003783,3,2.00015812694926,-29.9083062996185,-29.9083062996185,-29.9083062996185,-29.9083062996185,0.0560251604217087,0.0560251604217087,0.0560251604217087,0.0560251604217087,1,1,1,1
